HTS code,Description
5403.10,High-tenacity yarn of viscose rayon filament (excluding sewing thread and yarn put up for retail sale)
5403.31,"Yarn of viscose rayon filament, incl. monofilament of 67 decitex, single, untwisted or with a twist of = 120 turns per metre (excluding sewing thread, high-tenacity yarn and yarn put up for retail sale)"
5403.32,"Yarn of viscose rayon filament, incl. monofilament of 67 decitex, single, with a twist of 120 turns per metre (excluding sewing thread, high-tenacity yarn and yarn put up for retail sale)"
5403.33,"Filament yarn of cellulose acetate, incl. monofilament of 67 decitex, single (excluding sewing thread, high-tenacity yarn and yarn put up for retail sale)"
5403.39,"Artificial filament yarn, incl. artificial monofilament of 67 decitex, single (excluding sewing thread, filament yarn of viscose or cellulose acetate and yarn put up for retail sale)"
5403.41,"Multiple ""folded"" or cabled filament yarn of viscose rayon, incl. monofilament of 67 decitex (excluding sewing thread, high-tenacity yarn and yarn put up for retail sale)"
5403.42,"Multiple ""folded"" or cabled filament yarn of cellulose acetate, incl. monofilament of 67 decitex (excluding sewing thread, high-tenacity yarn and yarn put up for retail sale)"
5403.49,"Multiple ""folded"" or cabled artificial filament yarn, incl. artificial monofilament of 67 decitex (excluding sewing thread, filament yarn of viscose or cellulose acetate and yarn put up for retail sale)"
5404.11,Elastomeric monofilament of = 67 decitex and with a cross sectional dimension of = 1 mm
5404.12,Polypropylene monofilament of = 67 decitex and with a cross sectional dimension of = 1 mm (excluding elastomers)
5404.19,Synthetic monofilament of = 67 decitex and with a cross sectional dimension of = 1 mm (excluding of elastomers and polypropylene)
5404.90,"Strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent width of = 5 mm"
5405.00,"Artificial monofilament of = 67 decitex and with a cross sectional dimension of = 1 mm; strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent width of = 5 mm"
5406.00,"Man-made filament yarn, put up for retail sale (excluding sewing thread)"
5407.10,"Woven fabrics of high-tenacity yarn, nylon, other polyamides or polyesters, incl. monofilament of = 67 decitex and with a cross sectional dimension of = 1 mm"
5407.20,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of = 67 decitex and with a cross sectional dimension of = 1 mm"
5407.30,"Woven fabrics of synthetic filament yarn, incl. monofilament of = 67 decitex and with a cross sectional dimension of = 1 mm, consisting of layers of parallel textile yarns superimposed on each other at acute or right angles, the layers being bonded at the intersections of the yarns by an adhesive or by thermal bonding"
5407.41,"Woven fabrics of yarn containing = 85% by weight of filaments of nylon or other polyamides, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, unbleached or bleached"
5407.42,"Woven fabrics of filament yarn containing = 85% nylon or other polyamides by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, dyed"
5407.43,"Woven fabrics of yarn containing = 85% by weight of filaments of nylon or other polyamides by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, made of yarn of different colours"
5407.44,"Woven fabrics of yarn containing = 85% by weight of filaments of nylon or other polyamides by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, printed"
5407.51,"Woven fabrics of yarn containing = 85% by weight of textured polyester filaments, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, unbleached or bleached"
5407.52,"Woven fabrics of yarn containing = 85% by weight of textured polyester filaments, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, dyed"
5407.53,"Woven fabrics of yarn containing = 85% by weight of textured polyester filaments, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, made of yarn of different colours"
5407.54,"Woven fabrics of yarn containing = 85% by weight of textured polyester filaments, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, printed"
5407.61,"Woven fabrics of yarn containing = 85% by weight of non-textured polyester filaments, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm"
5407.69,"Woven fabrics of yarn containing = 85% by weight of mixtures of textured and non-textured polyester filaments, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm"
5407.71,"Woven fabrics of yarn containing = 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, untreated or not further treated than bleached (excluding those of polyester, nylon or other polyamide filaments or monofilaments, and of mixtures of textured and non-textured polyester filaments)"
5407.72,"Woven fabrics of yarn containing = 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, dyed (excluding those of polyester, nylon or other polyamide filaments or monofilaments, and of mixtures of textured and non-textured polyester filaments)"
5407.73,"Woven fabrics of yarn containing = 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, made of yarn of different colours (excluding those of polyester, nylon or other polyamide filaments or monofilaments, and of mixtures of textured and non-textured polyester filaments)"
5407.74,"Woven fabrics of yarn containing = 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, printed (excluding those of polyester, nylon or other polyamide filaments or monofilaments, and of mixtures of textured and non-textured polyester filaments)"
5407.81,"Woven fabrics of yarn containing predominantly, but 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, mixed principally or solely with cotton, unbleached or bleached"
5407.82,"Woven fabrics of yarn containing predominantly, but 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, mixed principally or solely with cotton, dyed"
5407.83,"Woven fabrics of yarn containing predominantly, but 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, mixed principally or solely with cotton, made of yarn of different colours"
5407.84,"Woven fabrics of yarn containing predominantly, but 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, mixed principally or solely with cotton, printed"
5407.91,"Woven fabrics of yarn containing predominantly, but 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, unbleached or bleached, other than those mixed principally or solely with cotton"
5407.92,"Woven fabrics of yarn containing predominantly, but 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, dyed, other than those mixed principally or solely with cotton"
5407.93,"Woven fabrics of yarn containing predominantly, but 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, made of yarn of different colours, other than those mixed principally or solely with cotton"
5407.94,"Woven fabrics of yarn containing predominantly, but 85% synthetic filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, printed, other than those mixed principally or solely with cotton"
5408.10,"Woven fabrics of high-tenacity viscose yarn, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm"
5408.21,"Woven fabrics of yarn containing = 85% artificial filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, unbleached or bleached (excluding those of high-tenacity viscose yarn)"
5408.22,"Woven fabrics of yarn containing = 85% artificial filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, dyed (excluding those of high-tenacity viscose yarn)"
5408.23,"Woven fabrics of yarn containing = 85% artificial filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, made of yarn of different colours (excluding those of high-tenacity viscose yarn)"
5408.24,"Woven fabrics of yarn containing = 85% artificial filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, printed (excluding those of high-tenacity viscose yarn)"
5408.31,"Woven fabrics of yarn containing predominantly, but 85% artificial filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, unbleached or bleached (excluding those of high-tenacity viscose yarn)"
5408.32,"Woven fabrics of yarn containing predominantly, but 85% artificial filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, dyed (excluding those of high-tenacity viscose yarn)"
5408.33,"Woven fabrics of yarn containing predominantly, but 85% artificial filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, made of yarn of different colours (excluding those of high-tenacity viscose yarn)"
5408.34,"Woven fabrics of yarn containing predominantly, but 85% artificial filament by weight, incl. monofilament of = 67 decitex and a maximum diameter of = 1 mm, printed (excluding those of high-tenacity viscose yarn)"
5501.10,"Filament tow as specified in Note 1 to chapter 55, of nylon or other polyamides"
5501.20,"Filament tow as specified in Note 1 to chapter 55, of polyesters"
5501.30,"Filament tow as specified in Note 1 to chapter 55, acrylic or modacrylic"
5501.40,"Synthetic filament tow as specified in Note 1 to chapter 55, of polypropylene"
5501.90,"Synthetic filament tow as specified in Note 1 to chapter 55 (excluding that of acrylic, modacrylic, polyesters, polypropylene, nylon or other polyamide filament)"
5502.10,"Artificial filament tow as specified in Note 1 to chapter 55, of acetate"
5502.90,"Artificial filament tow, as specified in Note 1 to chapter 55 (excl. of acetate)"
5503.11,"Staple fibres of aramids, not carded, combed or otherwise processed for spinning"
5503.19,"Staple fibres of nylon or other polyamides, not carded, combed or otherwise processed for spinning (excluding those of aramids)"
5503.20,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning"
5503.30,"Acrylic or modacrylic staple fibres, not carded, combed or otherwise processed for spinning"
5503.40,"Staple fibres of polypropylene, not carded, combed or otherwise processed for spinning"
5503.90,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning (excluding those of polypropylene, acrylic, modacrylic, polyesters, nylon or other polyamides)"
5504.10,"Staple fibres of viscose rayon, not carded, combed or otherwise processed for spinning"
5504.90,"Artificial staple fibres, not carded, combed or otherwise processed for spinning (excluding those of viscose rayon)"
5505.10,"Waste of synthetic staple fibres, incl. noils, yarn waste and garnetted stock"
5505.20,"Waste of artificial staple fibres, incl. noils, yarn waste and garnetted stock"
5506.10,"Staple fibres of nylon or other polyamides, carded, combed or otherwise processed for spinning"
5506.20,"Staple fibres of polyesters, carded, combed or otherwise processed for spinning"
5506.30,"Acrylic or modacrylic staple fibres, carded, combed or otherwise processed for spinning"
5506.40,"Staple fibres of polypropylene, carded, combed or otherwise processed for spinning"
5506.90,"Synthetic staple fibres carded, combed or otherwise processed for spinning (excluding acrylic, modacrylic, polyester, nylon or other polyamides)"
5507.00,"Artificial staple fibres, carded, combed or otherwise processed for spinning"
5508.10,"Sewing thread of synthetic staple fibres, whether or not put up for retail sale"
5508.20,"Sewing thread of artificial staple fibres, whether or not put up for retail sale"
5509.11,Single yarn containing = 85% nylon or other polyamide staple fibres by weight (excluding sewing thread and yarn put up for retail sale)
5509.12,"Multiple ""folded"" or cabled yarn containing = 85% nylon or other polyamide staple fibres by weight (excluding sewing thread and yarn put up for retail sale)"
5509.21,Single yarn containing = 85% polyester staple fibres by weight (excluding sewing thread and yarn put up for retail sale)
5509.22,"Multiple ""folded"" or cabled yarn containing = 85% polyester staple fibres by weight (excluding sewing thread and yarn put up for retail sale)"
5509.31,Single yarn containing = 85% acrylic or modacrylic staple fibres by weight (excluding sewing thread and yarn put up for retail sale)
5509.32,"Multiple ""folded"" or cabled yarn containing = 85% acrylic or modacrylic staple fibres by weight (excluding sewing thread and yarn put up for retail sale)"
5509.41,"Single yarn containing = 85% synthetic staple fibres by weight (excluding sewing thread, yarn put up for retail sale and yarn of acrylic, modacrylic, polyester, nylon or other polyamide staple fibres)"
5509.42,"Multiple ""folded"" or cabled yarn containing = 85% synthetic staple fibres by weight (excluding sewing thread, yarn put up for retail sale and yarn of acrylic, modacrylic, polyester, nylon or other polyamide staple fibres)"
5509.51,"Yarn containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with artificial staple fibres (excluding sewing thread and yarn put up for retail sale)"
5509.52,"Yarn containing 50% to 85% polyester staple fibres by weight, mixed principally or solely with wool or fine animal hair (excluding sewing thread and yarn put up for retail sale)"
5509.53,"Yarn containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton (excluding sewing thread and yarn put up for retail sale)"
5509.59,"Yarn containing predominantly, but 85% polyester staple fibres by weight, other than that mixed principally or solely with cotton, wool, fine animal hair or artificial staple fibres (excluding sewing thread and yarn put up for retail sale)"
5509.61,"Yarn containing predominantly, but 85% acrylic or modacrylic staple fibres by weight, mixed principally or solely with wool or fine animal hair (excluding sewing thread and yarn put up for retail sale)"
5509.62,"Yarn containing predominantly, but 85% acrylic or modacrylic staple fibres by weight, mixed principally or solely with cotton (excluding sewing thread and yarn put up for retail sale)"
5509.69,"Yarn containing predominantly, but 85% acrylic or modacrylic staple fibres by weight, other than that mixed principally or solely with cotton, wool or fine animal hair (excluding sewing thread and yarn put up for retail sale)"
5509.91,"Yarn containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with wool or fine animal hair (excluding sewing thread, yarn put up for retail sale and yarn of polyester, acrylic or modacrylic staple fibres)"
5509.92,"Yarn containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with cotton (excluding sewing thread, yarn put up for retail sale and yarn of polyester, acrylic or modacrylic staple fibres)"
5509.99,"Yarn containing predominantly, but 85% synthetic staple fibres by weight, other than that mixed principally or solely with cotton, wool or fine animal hair (excluding sewing thread, yarn put up for retail sale and yarn of polyester, acrylic or modacrylic staple fibres)"
5510.11,"Single yarn, containing = 85% artificial staple fibres by weight (excluding sewing thread and yarn put up for retail sale)"
5510.12,"Multiple ""folded"" or cabled yarn containing = 85% artificial staple fibres by weight (excluding sewing thread and yarn put up for retail sale)"
5510.20,"Yarn containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with wool or fine animal hair (excluding sewing thread and yarn put up for retail sale)"
5510.30,"Yarn containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with cotton (excluding sewing thread and yarn put up for retail sale)"
5510.90,"Yarn containing predominantly, but 85% artificial staple fibres by weight, other than that mixed principally or solely with cotton, wool or fine animal hair (excluding sewing thread and yarn put up for retail sale)"
5511.10,"Yarn containing = 85% synthetic staple fibres by weight, put up for retail sale (excluding sewing thread)"
5511.20,"Yarn containing predominantly, but 85% synthetic staple fibres by weight, put up for retail sale (excluding sewing thread)"
5511.30,"Yarn of artificial staple fibres, put up for retail sale (excluding sewing thread)"
5512.11,"Woven fabrics containing = 85% polyester staple fibres by weight, unbleached or bleached"
5512.19,"Woven fabrics containing = 85% polyester staple fibres by weight, dyed, made of yarn of different colours, or printed"
5512.21,"Woven fabrics containing = 85% acrylic or modacrylic staple fibres by weight, unbleached or bleached"
5512.29,"Woven fabrics containing = 85% acrylic or modacrylic staple fibres by weight, dyed, made of yarn of different colours or printed"
5512.91,"Woven fabrics containing = 85% synthetic staple fibres by weight, unbleached or bleached (excluding those of acrylic, modacrylic or polyester staple fibres)"
5512.99,"Woven fabrics containing = 85% synthetic staple fibres by weight, dyed, made of yarn of different colours or printed (excluding those of acrylic, modacrylic or polyester staple fibres)"
5513.11,"Plain woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², unbleached or bleached"
5513.12,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², in three-thread or four-thread twill, incl. cross twill, unbleached or bleached"
5513.13,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², unbleached or bleached (excluding those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
5513.19,"Woven fabrics containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², unbleached or bleached (excluding those of polyester staple fibres)"
5513.21,"Plain woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², dyed"
5513.23,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², dyed (excluding plain woven fabrics)"
5513.29,"Woven fabrics containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², dyed (excluding those of polyester staple fibres)"
5513.31,"Plain woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², made of yarn of different colours"
5513.39,"Woven fabrics containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², made of yarn of different colours (excluding plain woven fabrics of polyester staple fibres)"
5513.41,"Plain woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², printed"
5513.49,"Woven fabrics containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with cotton and weighing = 170 g/mÂ², printed (excluding plain woven fabrics of polyester staple fibres)"
5514.11,"Plain woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², unbleached or bleached"
5514.12,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², in three-thread or four-thread twill, incl. cross twill, unbleached or bleached"
5514.19,"Woven fabrics containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², unbleached or bleached (excluding those of plain woven polyester staple fibres and polyester staple fibres in three-thread or four-thread twill, incl. cross twill)"
5514.21,"Plain woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², dyed"
5514.22,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², in three-thread or four-thread twill, incl. cross twill, dyed"
5514.23,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², dyed (excluding those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
5514.29,"Woven fabrics containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², dyed (excluding those of polyester staple fibres)"
5514.30,"Woven fabrics containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², made of yarn of different colours"
5514.41,"Plain woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², printed"
5514.42,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², in three-thread or four-thread twill, incl. cross twill, printed"
5514.43,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², printed (excluding those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
5514.49,"Woven fabrics containing predominantly, but 85% synthetic staple fibres by weight, mixed principally or solely with cotton and weighing 170 g/mÂ², printed (excluding those of polyester staple fibres)"
5515.11,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with viscose staple fibres"
5515.12,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with man-made filament"
5515.13,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, mixed principally or solely with cotton or fine animal hair"
5515.19,"Woven fabrics containing predominantly, but 85% polyester staple fibres by weight, other than those mixed principally or solely with wool or fine animal hair, man-made filament, viscose staple fibres or cotton"
5515.21,"Woven fabrics containing predominantly, but 85% acrylic or modacrylic staple fibres by weight, mixed principally or solely with man-made filament"
5515.22,"Woven fabrics containing predominantly, but 85% acrylic or modacrylic staple fibres by weight, mixed principally or solely with carded wool or carded fine animal hair"
5515.29,"Woven fabrics containing predominantly, but 85% acrylic or modacrylic staple fibres by weight, other than those mixed principally or solely with wool, fine animal hair, man-made filaments or cotton"
5515.91,"Woven fabrics containing predominantly, but 85% synthetic staple fibres, mixed principally or solely with man-made filament (excluding those of acrylic, modacrylic or polyester staple fibres)"
5515.99,"Woven fabrics containing predominantly, but 85% synthetic staple fibres, other than those mixed principally or solely with man-made filament or cotton (excluding those of acrylic, modacrylic or polyester staple fibres)"
5516.11,"Woven fabrics containing = 85% artificial staple fibres by weight, unbleached or bleached"
5516.12,"Woven fabrics containing = 85% artificial staple fibres by weight, dyed"
5516.13,"Woven fabrics containing = 85% artificial staple fibres by weight, made of yarn of different colours"
5516.14,"Woven fabrics containing = 85% artificial staple fibres by weight, printed"
5516.21,"Woven fabrics containing predominantly, but 85% artificial staple fibres, mixed principally or solely with man-made filament, unbleached or bleached"
5516.22,"Woven fabrics containing predominantly, but 85% artificial staple fibres, mixed principally or solely with man-made filament, dyed"
5516.23,"Woven fabrics containing predominantly, but 85% artificial staple fibres, mixed principally or solely with man-made filament, made of yarn of different colours"
5516.24,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with man-made filament, printed"
5516.31,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with wool or fine animal hair, unbleached or bleached"
5516.32,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with wool or fine animal hair, dyed"
5516.33,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with wool or fine animal hair, made of yarn of different colours"
5516.34,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with wool or fine animal hair, printed"
5516.41,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with cotton, unbleached or bleached"
5516.42,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with cotton, dyed"
5516.43,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with cotton, made of yarn of different colours"
5516.44,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, mixed principally or solely with cotton, printed"
5516.91,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, other than those mixed principally or solely with cotton, wool, fine animal hair or man-made filament, unbleached or bleached"
5516.92,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, other than those mixed principally or solely with cotton, wool, fine animal hair or man-made filament, dyed"
5516.93,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, other than those mixed principally or solely with cotton, wool, fine animal hair or man-made filament, made of yarn of different colours"
5516.94,"Woven fabrics containing predominantly, but 85% artificial staple fibres by weight, other than those mixed principally or solely with cotton, wool, fine animal hair or man-made filament, printed"
5601.21,"Wadding of cotton and articles thereof (excluding sanitary towels and tampons, napkins and napkin liners for babies and similar sanitary articles, wadding and articles thereof impregnated or coated with pharmaceutical substances or put up for retail sale for medical, surgical, dental or veterinary purposes, and products impregnated, coated or covered with perfumes, cosmetics, soaps, detergents, etc.)"
5601.22,"Wadding of man-made fibres and articles thereof (excluding sanitary towels and tampons, napkins and napkin liners for babies and similar sanitary articles, wadding and articles thereof impregnated or coated with pharmaceutical substances or put up for retail sale for medical, surgical, dental or veterinary purposes, and products impregnated, coated or covered with perfumes, cosmetics, soaps, detergents etc.)"
5601.29,"Wadding of textile materials and articles thereof (excluding of cotton or man-made fibres; sanitary towels and tampons, napkins and napkin liners for babies and similar sanitary articles, wadding and articles thereof, impregnated or covered with medicated substances or put up for retail for medical, surgical, dental or veterinary purposes, or impregnated, coated or covered with perfumes, make-up, soaps, cleansing agents, etc.)"
5601.30,Textile flock and dust and mill neps
5602.10,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered or laminated, n.e.s."
5602.21,"Felt, not impregnated, coated, covered or laminated, of wool or fine animal hair, n.e.s. (excluding needleloom felt and stitch-bonded fibre fabrics)"
5602.29,"Felt, not impregnated, coated, covered or laminated (excluding that of wool or fine animal hair; needleloom felt and stitch-bonded fibre fabrics)"
5602.90,"Felt, impregnated, coated, covered or laminated (excluding needleloom felt and stitch-bonded fibre fabrics)"
5603.11,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or man-made filaments, weighing = 25 g/mÂ²"
5603.12,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, weighing 25 g/mÂ² but = 70 g/mÂ²"
5603.13,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, weighing 70 g/mÂ² but = 150 g/mÂ²"
5603.14,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, weighing 150 g"
5603.91,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing = 25 g/mÂ² (excluding of man-made filaments)"
5603.92,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing 25 g/mÂ² but = 70 g/mÂ² (excluding of man-made filaments)"
5603.93,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing 70 g/mÂ² but = 150 g/mÂ² (excluding of man-made filaments)"
5603.94,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing than 150 g/mÂ² (excluding of man-made filaments)"
5604.10,Textile-covered rubber thread and cord
5604.90,"Textile yarn, strip and the like of heading 5404 and 5405, impregnated, coated, covered or sheathed with rubber or plastics (excluding imitation catgut, thread and cord with fish-hook attachments or otherwise put up as fishing line)"
5605.00,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading 5404 or 5405, of textile fibres, combined with metal in the form of thread, strip or powder or covered with metal (excluding yarns manufactured from a mixture of textile fibres and metal fibres, with anti-static properties; yarns reinforced with metal wire; articles with the character of trimmings)"
5606.00,"Gimped yarn, gimped strip and the like of heading 5404 or 5405; chenille yarn, incl. flock chenille yarn, and loop wale-yarn (excluding metal yarn and metallised yarn of heading 5605; gimped horsehair yarn; textile-covered rubber thread; twine, cord and other gimped textile products of heading 5808; gimped metal yarn)"
5607.21,"Binder or baler twine, of sisal or other textile fibres of the genus Agave"
5607.29,"Twine, cordage, ropes and cables, of sisal or other textile fibres of the genus Agave, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics (excluding binder or baler twine)"
5607.41,"Binder or baler twine, of polyethylene or polypropylene"
5607.49,"Twine, cordage, ropes and cables of polyethylene or polypropylene, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics (excluding binder or baler twine)"
5607.50,"Twine, cordage, ropes and cables, of synthetic fibres, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics (excluding polyethylene and polypropylene)"
5607.90,"Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics (excluding that of synthetic fibres and of sisal or other textile fibres of the genus Agave)"
5608.11,Made-up knotted fishing nets of man-made textile materials (excluding landing nets)
5608.19,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up nets, of man-made textile materials (excluding made-up fishing nets, hairnets, nets for sporting purposes, incl. landing nets, butterfly nets and the like)"
5608.90,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up fishing nets and other made-up nets, of vegetable textile materials (excluding hairnets, nets for sporting purposes, incl. landing nets, butterfly nets and the like)"
5609.00,"Articles of yarn, strip or the like of heading 5404 or 5405, or of twine, cordage, ropes or cables of heading 5607, n.e.s."
5701.10,"Carpets and other textile floor coverings, of wool or fine animal hair, knotted, whether or not made up"
5701.90,"Carpets and other textile floor coverings, of textile materials, knotted, whether or not made up (excluding those of wool or fine animal hair)"
5702.10,"Kelem, Schumacks, Karamanie and similar hand-woven rugs, whether or not made up"
5702.20,"Floor coverings of coconut fibres ""coir"", woven, whether or not made up"
5702.31,"Carpets and other floor coverings, of wool or fine animal hair, woven, not tufted or flocked, of pile construction, not made up (excluding Kelem, Schumacks, Karamanie and similar hand-woven rugs)"
5702.32,"Carpets and other floor coverings, of man-made textile materials, woven, not tufted or flocked, of pile construction, not made up (excluding Kelem, Schumacks, Karamanie and similar hand-woven rugs)"
5702.39,"Carpets and other floor coverings, of vegetable textile materials or coarse animal hair, woven, not tufted or flocked, of pile construction, not made up (excluding Kelem, Schumacks, Karamanie and similar hand-woven rugs, and floor coverings of coconut fibres ""coir"")"
5702.41,"Carpets and other floor coverings, of wool or fine animal hair, woven, not tufted or flocked, of pile construction, made up (excluding Kelem, Schumacks, Karamanie and similar hand-woven rugs)"
5702.42,"Carpets and other floor coverings, of man-made textile materials, woven, not tufted or flocked, of pile construction, made up (excluding Kelem, Schumacks, Karamanie and similar hand-woven rugs)"
