HTS code,Description
0210.12,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked"
0210.19,"Meat of swine, salted, in brine, dried or smoked (excluding hams, shoulders and cuts thereof, with bone in, and bellies and cuts thereof)"
0210.20,"Meat of bovine animals, salted, in brine, dried or smoked"
0210.91,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of primates"
0210.92,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia) and seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
0210.93,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of reptiles ""e.g. snakes, turtles, alligators"""
0210.99,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal (excluding meat of bovine animals and swine and meat and edible offal of primates, whales, dolphins and porpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", seals, sea lions and walruses ""mammals of the suborder Pinnipedia"" and reptiles)"
0301.11,Live ornamental freshwater fish
0301.19,Live ornamental fish (excluding freshwater)
0301.91,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
0301.92,"Live eels ""Anguilla spp."""
0301.93,"Live carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0301.94,"Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
0301.95,"Live southern bluefin tunas ""Thunnus maccoyii"""
0301.99,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster], eels [Anguilla spp.], carp [Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus], Atlantic and Pacific bluefin tuna [Thunnus thynnus, Thunnus orientalis] and southern bluefin tuna [Thunnus maccoyii])"
0302.11,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
0302.13,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"""
0302.14,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
0302.19,"Fresh or chilled salmonidae (excluding trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"")"
0302.21,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
0302.22,"Fresh or chilled plaice ""Pleuronectes platessa"""
0302.23,"Fresh or chilled sole ""Solea spp."""
0302.24,"Fresh or chilled turbot ""Psetta maxima"""
0302.29,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae"" (excluding halibut ""Reinhardtius hippoglossoides, Hippoglossus hippoglossus and Hippoglossus stenolepis"", plaice ""Pleuronectes platessa"", sole ""Solea spp."" and turbot ""Psetta maxima"")"
0302.31,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"""
0302.32,"Fresh or chilled yellowfin tunas ""Thunnus albacares"""
0302.33,Fresh or chilled skipjack or stripe-bellied bonito
0302.34,"Fresh or chilled bigeye tunas ""Thunnus obesus"""
0302.35,"Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
0302.36,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"""
0302.39,"Fresh or chilled tunas of the genus ""Thunnus"" (excluding Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)"
0302.41,"Fresh or chilled herring ""Clupea harengus, clupea pallasii"""
0302.42,"Fresh or chilled anchovies ""Engraulis spp."""
0302.43,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
0302.44,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
0302.45,"Fresh or chilled jack and horse mackerel ""Trachurus spp."""
0302.46,"Fresh or chilled cobia ""Rachycentron canadum"""
0302.47,"Fresh or chilled swordfish ""Xiphias gladius"""
0302.49,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
0302.51,"Fresh or chilled cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
0302.52,"Fresh or chilled haddock ""Melanogrammus aeglefinus"""
0302.53,"Fresh or chilled coalfish ""Pollachius virens"""
0302.54,"Fresh or chilled hake ""Merluccius spp., Urophycis spp."""
0302.55,"Fresh or chilled Alaska pollack ""Theragra chalcogramma"""
0302.56,"Fresh or chilled blue whiting ""Micromesistius poutassou, Micromesistius australis"""
0302.59,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake, Alaska pollack and blue whitings)"
0302.71,"Fresh or chilled tilapia ""Oreochromis spp."""
0302.72,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
0302.73,"Fresh or chilled carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"""
0302.74,"Fresh or chilled eels ""Anguilla spp."""
0302.79,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."""
0302.81,Fresh or chilled dogfish and other sharks
0302.82,"Fresh or chilled, rays and skates ""Rajidae"""
0302.83,"Fresh or chilled toothfish ""Dissostichus spp."""
0302.84,"Fresh or chilled sea bass ""Dicentrarchus spp."""
0302.85,"Fresh or chilled sea bream ""Sparidae"""
0302.89,"Fresh or chilled fish, n.e.s."
0302.91,"Fresh or chilled fish livers, roes and milt"
0302.92,Fresh or chilled shark fins
0302.99,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)"
0303.11,"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka"""
0303.12,"Frozen Pacific salmon (excluding sockeye salmon ""red salmon"")"
0303.13,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
0303.14,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
0303.19,"Frozen salmonidae (excluding trout and Pacific, Atlantic and Danube salmon)"
0303.23,"Frozen tilapia ""Oreochromis spp."""
0303.24,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
0303.25,"Frozen carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"""
0303.26,"Frozen eels ""Anguilla spp."""
0303.29,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
0303.31,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
0303.32,"Frozen plaice ""Pleuronectes platessa"""
0303.33,"Frozen sole ""Solea spp."""
0303.34,"Frozen turbot ""Psetta maxima"""
0303.39,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" (excluding halibut, plaice, sole and turbot)"
0303.41,"Frozen albacore or longfinned tunas ""Thunnus alalunga"""
0303.42,"Frozen yellowfin tunas ""Thunnus albacares"""
0303.43,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis"""
0303.44,"Frozen bigeye tunas ""Thunnus obesus"""
0303.45,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
0303.46,"Frozen Southern bluefin tunas ""Thunnus maccoyii"""
0303.49,"Frozen tunas of the genus ""Thunnus"" (excluding Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)"
0303.51,"Frozen herrings ""Clupea harengus, Clupea pallasii"""
0303.53,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
0303.54,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
0303.55,"Frozen jack and horse mackerel ""Trachurus spp."""
0303.56,"Frozen cobia ""Rachycentron canadum"""
0303.57,"Frozen swordfish ""Xiphias gladius"""
0303.59,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
0303.63,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
0303.64,"Frozen haddock ""Melanogrammus aeglefinus"""
0303.65,"Frozen coalfish ""Pollachius virens"""
0303.66,"Frozen hake ""Merluccius spp., Urophycis spp."""
0303.67,"Frozen Alaska pollack ""Theragra chalcogramma"""
0303.68,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis"""
0303.69,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake, Alaska pollack and blue whiting)"
0303.81,Frozen dogfish and other sharks
0303.82,"Frozen rays and skates ""Rajidae"""
0303.83,"Frozen toothfish ""Dissostichus spp."""
0303.84,"Frozen sea bass ""Dicentrarchus spp."""
0303.89,"Frozen fish, n.e.s."
0303.91,"Frozen fish livers, roes and milt"
0303.92,Frozen shark fins
0303.99,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)"
0304.31,"Fresh or chilled fillets of tilapia ""Oreochromis spp."""
0304.32,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
0304.33,"Fresh or chilled fillets of Nile perch ""Lates niloticus"""
0304.39,"Fresh or chilled fillets of carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp."""
0304.41,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
0304.42,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
0304.43,"Fresh or chilled fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"""
0304.44,"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
0304.45,"Fresh or chilled fillets of swordfish ""Xiphias gladius"""
0304.46,"Fresh or chilled fillets of toothfish ""Dissostichus spp."""
0304.47,Fresh or chilled fillets of dogfish and other sharks
0304.48,"Fresh or chilled fillets of rays and skates ""Rajidae"""
0304.49,"Fresh or chilled fillets of fish, n.e.s."
0304.51,"Fresh or chilled meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."" (excluding fillets)"
0304.52,"Fresh or chilled meat, whether or not minced, of salmonidae (excluding fillets)"
0304.53,"Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding fillets)"
0304.54,"Fresh or chilled meat, whether or not minced, of swordfish ""Xiphias gladius"" (excluding fillets)"
0304.55,"Fresh or chilled meat, whether or not minced, of toothfish ""Dissostichus spp."" (excluding fillets)"
0304.56,"Fresh or chilled meat, whether or not minced, of dogfish and other sharks (excl. fillets)"
0304.57,"Fresh or chilled meat, whether or not minced, of rays and skates ""Rajidae"" (excl. fillets)"
0304.59,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)"
0304.61,"Frozen fillets of tilapia ""Oreochromis spp."""
0304.62,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
0304.63,"Frozen fillets of Nile perch ""Lates niloticus"""
0304.69,"Frozen fillets of carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp."""
0304.71,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
0304.72,"Frozen fillets of haddock ""Melanogrammus aeglefinus"""
0304.73,"Frozen fillets of coalfish ""Pollachius virens"""
0304.74,"Frozen fillets of hake ""Merluccius spp., Urophycis spp."""
0304.75,"Frozen fillets of Alaska pollack ""Theragra chalcogramma"""
0304.79,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)"
0304.81,"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
0304.82,"Frozen fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
0304.83,"Frozen fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"""
0304.84,"Frozen fillets of swordfish ""Xiphias gladius"""
0304.85,"Frozen fillets of toothfish ""Dissostichus spp."""
0304.86,"Frozen fillets of herring ""Clupea harengus, Clupea pallasii"""
0304.87,"Frozen fillets of tuna ""of the genus Thunnus"", skipjack or stripe-bellied bonito ""Euthynnus [Katsuwonus] pelamis"""
0304.88,"Frozen fillets of dogfish, other sharks, rays and skates ""Rajidae"""
0304.89,"Frozen fish fillets, n.e.s."
0304.91,"Frozen meat, whether or not minced, of swordfish ""Xiphias gladius"" (excluding fillets)"
0304.92,"Frozen meat, whether or not minced, of toothfish ""Dissostichus spp."" (excluding fillets)"
0304.93,"Frozen meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."" (excluding fillets)"
0304.94,"Frozen meat, whether or not minced, of Alaska pollack ""Theragra chalcogramma"" (excluding fillets)"
0304.95,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding fillets and Alaska pollack ""Theragra chalcogramma"")"
0304.96,"Frozen meat, whether or not minced, of dogfish and other sharks"
0304.97,"Frozen meat, whether or not minced, of rays and skates ""Rajidae"""
0304.99,Frozen fish meat n.e.s. (excluding fillets)
0305.10,"Flours, meals and pellets of fish, fit for human consumption"
0305.20,"Fish livers and roes, dried, smoked, salted or in brine"
0305.31,"Fillets, dried, salted or in brine, but not smoked, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."""
0305.32,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
0305.39,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)"
0305.41,"Smoked Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"", incl. fillets (excluding offal)"
0305.42,"Smoked herring ""Clupea harengus, Clupea pallasii"", incl. fillets (excluding offal)"
0305.43,"Smoked trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", incl. fillets (excluding offal)"
0305.44,"Smoked tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."", incl. fillets (excluding offal)"
0305.49,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, trout, tilapia, catfish, carp, eels, Nile perch and snakeheads)"
0305.51,"Dried cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", even salted, not smoked (excluding fillets and offal)"
0305.52,"Dried tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."", carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."", eels ""Anguilla spp."", Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."", even salted but not smoked (excl. fillets and offal)"
0305.53,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, even salted but not smoked (excl. fillets, offal and cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"")"
0305.54,"Dried herrings ""Clupea harengus, Clupea pallasii"", anchovies ""Engraulis spp."", sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"", mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jack and horse mackerel ""Trachurus spp."", jacks, crevalles ""Caranx spp."", cobia ""Rachycentron canadum"", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", swordfish ""Xiphias gladius"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"", even salted but not smoked (excl. fillets and offal)"
0305.59,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)"
